San Francisco|January|58|
San Francisco|February|56|
San Francisco|March|60|
San Francisco|April|62|
San Francisco|May|63|
San Francisco|June|60|
San Francisco|July|58|
San Francisco|August|58|
San Francisco|September|61|
San Francisco|October|63|
San Francisco|November|61|
San Francisco|December|60|
Oakland|January|55|
Oakland|February|54|
Oakland|March|57|
Oakland|April|63|
Oakland|May|64|
Oakland|June|71|
Oakland|July|75|
Oakland|August|74|
Oakland|September|73|
Oakland|October|73|
Oakland|November|66|
Oakland|December|60|
Walnut Creek|January|52|
Walnut Creek|February|50|
Walnut Creek|March|55|
Walnut Creek|April|60|
Walnut Creek|May|65|
Walnut Creek|June|75|
Walnut Creek|July|82|
Walnut Creek|August|85|
Walnut Creek|September|78|
Walnut Creek|October|71|
Walnut Creek|November|65|
Walnut Creek|December|59|
Berkeley|January|55|
Berkeley|February|54|
Berkeley|March|58|
Berkeley|April|64|
Berkeley|May|66|
Berkeley|June|72|
Berkeley|July|73|
Berkeley|August|72|
Berkeley|September|72|
Berkeley|October|70|
Berkeley|November|65|
Berkeley|December|61|
Concord|January|51|
Concord|February|50|
Concord|March|54|
Concord|April|60|
Concord|May|67|
Concord|June|76|
Concord|July|84|
Concord|August|86|
Concord|September|79|
Concord|October|70|
Concord|November|64|
Concord|December|55|
Pittsburg|January|50|
Pittsburg|February|48|
Pittsburg|March|53|
Pittsburg|April|60|
Pittsburg|May|69|
Pittsburg|June|78|
Pittsburg|July|89|
Pittsburg|August|91|
Pittsburg|September|85|
Pittsburg|October|80|
Pittsburg|November|70|
Pittsburg|December|55|
